id,date,store_nbr,item_nbr,unit_sales,onpromotion
1,2024-06-01,1,1,13.11,0
2,2024-06-01,1,2,13.67,0
3,2024-06-01,1,3,18.58,1
4,2024-06-01,1,4,9.14,0
5,2024-06-01,1,5,7.34,0
6,2024-06-01,1,6,9.57,0
7,2024-06-01,1,7,15.18,0
8,2024-06-01,1,8,10.01,0
9,2024-06-01,1,9,18.61,1
10,2024-06-01,1,10,11.15,0
11,2024-06-01,1,11,10.61,0
12,2024-06-01,1,12,7.13,0
13,2024-06-01,1,13,10.11,0
14,2024-06-01,1,14,7.18,1
15,2024-06-01,2,1,7.56,0
16,2024-06-01,2,2,6.82,0
17,2024-06-01,2,3,10.46,0
18,2024-06-01,2,4,8.27,0
19,2024-06-01,2,5,10.64,0
20,2024-06-01,2,6,6.91,0
21,2024-06-01,2,7,13.13,0
22,2024-06-01,2,8,11.9,0
23,2024-06-01,2,9,8.04,0
24,2024-06-01,2,10,5.69,0
25,2024-06-01,2,11,9.2,0
26,2024-06-01,2,12,10.38,0
27,2024-06-01,2,13,5.93,0
28,2024-06-01,2,14,5.83,0
29,2024-06-01,3,1,9.8,0
30,2024-06-01,3,2,10.36,1
31,2024-06-01,3,3,6.46,0
32,2024-06-01,3,4,6.06,0
33,2024-06-01,3,5,13.07,0
34,2024-06-01,3,6,6.03,0
35,2024-06-01,3,7,11.41,0
36,2024-06-01,3,8,7.01,0
37,2024-06-01,3,9,10.89,0
38,2024-06-01,3,10,7.43,0
39,2024-06-01,3,11,10.56,0
40,2024-06-01,3,12,8.09,0
41,2024-06-01,3,13,8.5,0
42,2024-06-01,3,14,2.88,0
43,2024-06-03,1,1,7.33,0
44,2024-06-03,1,2,10.03,1
45,2024-06-03,1,3,13.74,0
46,2024-06-03,1,4,6.75,0
47,2024-06-03,1,5,13.0,0
48,2024-06-03,1,6,8.86,0
49,2024-06-03,1,7,9.91,0
50,2024-06-03,1,8,8.52,0
51,2024-06-03,1,9,14.2,0
52,2024-06-03,1,10,5.0,0
53,2024-06-03,1,11,6.48,0
54,2024-06-03,1,12,4.93,0
55,2024-06-03,1,13,8.32,1
56,2024-06-03,1,14,3.56,0
57,2024-06-03,2,1,7.61,0
58,2024-06-03,2,2,9.51,0
59,2024-06-03,2,3,11.1,0
60,2024-06-03,2,4,8.51,0
61,2024-06-03,2,5,11.75,1
62,2024-06-03,2,6,6.88,0
63,2024-06-03,2,7,11.4,0
64,2024-06-03,2,8,8.61,0
65,2024-06-03,2,9,7.55,0
66,2024-06-03,2,10,7.98,1
67,2024-06-03,2,11,9.96,0
68,2024-06-03,2,12,7.35,0
69,2024-06-03,2,13,8.0,1
70,2024-06-03,2,14,4.49,0
71,2024-06-03,3,1,7.72,0
72,2024-06-03,3,2,12.25,0
73,2024-06-03,3,3,9.72,0
74,2024-06-03,3,4,12.59,0
75,2024-06-03,3,5,9.67,0
76,2024-06-03,3,6,9.21,0
77,2024-06-03,3,7,6.99,0
78,2024-06-03,3,8,10.02,0
79,2024-06-03,3,9,8.14,0
80,2024-06-03,3,10,8.27,0
81,2024-06-03,3,11,6.04,0
82,2024-06-03,3,12,5.05,0
83,2024-06-03,3,13,4.96,0
84,2024-06-03,3,14,4.45,0
85,2024-06-05,1,1,5.11,0
86,2024-06-05,1,2,7.32,0
87,2024-06-05,1,3,9.39,0
88,2024-06-05,1,4,8.89,0
89,2024-06-05,1,5,12.98,0
90,2024-06-05,1,6,13.22,1
91,2024-06-05,1,7,12.81,0
92,2024-06-05,1,8,9.67,1
93,2024-06-05,1,9,6.75,0
94,2024-06-05,1,10,9.03,0
95,2024-06-05,1,11,8.59,0
96,2024-06-05,1,12,12.65,1
97,2024-06-05,1,13,7.32,0
98,2024-06-05,1,14,5.81,0
99,2024-06-05,2,1,12.06,1
100,2024-06-05,2,2,5.67,0
101,2024-06-05,2,3,10.79,0
102,2024-06-05,2,4,7.3,1
103,2024-06-05,2,5,8.2,0
104,2024-06-05,2,6,11.13,0
105,2024-06-05,2,7,7.76,0
106,2024-06-05,2,8,8.7,0
107,2024-06-05,2,9,7.3,0
108,2024-06-05,2,10,7.85,0
109,2024-06-05,2,11,4.07,0
110,2024-06-05,2,12,7.79,0
111,2024-06-05,2,13,9.83,1
112,2024-06-05,2,14,6.61,0
113,2024-06-05,3,1,7.51,0
114,2024-06-05,3,2,11.06,0
115,2024-06-05,3,3,5.95,0
116,2024-06-05,3,4,13.27,0
117,2024-06-05,3,5,9.28,0
118,2024-06-05,3,6,16.18,1
119,2024-06-05,3,7,13.44,0
120,2024-06-05,3,8,7.58,0
121,2024-06-05,3,9,10.81,0
122,2024-06-05,3,10,7.0,0
123,2024-06-05,3,11,5.64,0
124,2024-06-05,3,12,7.21,0
125,2024-06-05,3,13,9.78,1
126,2024-06-05,3,14,4.88,0
127,2024-06-07,1,1,9.31,0
128,2024-06-07,1,2,8.16,0
129,2024-06-07,1,3,9.51,0
130,2024-06-07,1,4,14.31,0
131,2024-06-07,1,5,13.43,0
132,2024-06-07,1,6,5.96,0
133,2024-06-07,1,7,9.18,0
134,2024-06-07,1,8,9.57,0
135,2024-06-07,1,9,10.9,0
136,2024-06-07,1,10,4.69,0
137,2024-06-07,1,11,8.16,0
138,2024-06-07,1,12,9.67,0
139,2024-06-07,1,13,6.29,0
140,2024-06-07,1,14,8.05,1
141,2024-06-07,2,1,8.01,0
142,2024-06-07,2,2,8.56,0
143,2024-06-07,2,3,10.78,0
144,2024-06-07,2,4,6.09,0
145,2024-06-07,2,5,8.56,1
146,2024-06-07,2,6,6.91,0
147,2024-06-07,2,7,8.77,0
148,2024-06-07,2,8,8.81,0
149,2024-06-07,2,9,11.0,0
150,2024-06-07,2,10,7.87,0
151,2024-06-07,2,11,8.71,0
152,2024-06-07,2,12,4.72,0
153,2024-06-07,2,13,7.34,0
154,2024-06-07,2,14,2.83,0
155,2024-06-07,3,1,8.87,1
156,2024-06-07,3,2,7.91,0
157,2024-06-07,3,3,11.38,0
158,2024-06-07,3,4,8.93,0
159,2024-06-07,3,5,9.31,0
160,2024-06-07,3,6,11.66,0
161,2024-06-07,3,7,8.93,0
162,2024-06-07,3,8,12.02,0
163,2024-06-07,3,9,8.74,0
164,2024-06-07,3,10,4.82,0
165,2024-06-07,3,11,7.1,0
166,2024-06-07,3,12,6.56,0
167,2024-06-07,3,13,8.78,1
168,2024-06-07,3,14,4.78,0
169,2024-06-11,1,1,6.3,0
170,2024-06-11,1,2,6.45,0
171,2024-06-11,1,3,7.61,0
172,2024-06-11,1,4,13.25,0
173,2024-06-11,1,5,8.43,0
174,2024-06-11,1,6,14.61,0
175,2024-06-11,1,7,11.79,0
176,2024-06-11,1,8,13.43,0
177,2024-06-11,1,9,6.56,0
178,2024-06-11,1,10,8.41,0
179,2024-06-11,1,11,9.08,0
180,2024-06-11,1,12,10.86,1
181,2024-06-11,1,13,12.04,1
182,2024-06-11,1,14,4.37,0
183,2024-06-11,2,1,13.74,1
184,2024-06-11,2,2,10.67,0
185,2024-06-11,2,3,6.16,0
186,2024-06-11,2,4,5.2,0
187,2024-06-11,2,5,10.54,0
188,2024-06-11,2,6,9.32,0
189,2024-06-11,2,7,11.42,0
190,2024-06-11,2,8,9.59,0
191,2024-06-11,2,9,9.56,0
192,2024-06-11,2,10,5.73,0
193,2024-06-11,2,11,6.3,0
194,2024-06-11,2,12,5.46,0
195,2024-06-11,2,13,9.27,0
196,2024-06-11,2,14,4.83,0
197,2024-06-11,3,1,9.41,0
198,2024-06-11,3,2,7.38,0
199,2024-06-11,3,3,8.73,0
200,2024-06-11,3,4,5.16,0
201,2024-06-11,3,5,6.15,0
202,2024-06-11,3,6,10.22,0
203,2024-06-11,3,7,9.35,0
204,2024-06-11,3,8,10.58,0
205,2024-06-11,3,9,9.36,0
206,2024-06-11,3,10,8.5,0
207,2024-06-11,3,11,9.73,1
208,2024-06-11,3,12,6.8,1
209,2024-06-11,3,13,7.25,0
210,2024-06-11,3,14,4.3,0
211,2024-06-13,1,1,16.75,1
212,2024-06-13,1,2,7.79,0
213,2024-06-13,1,3,8.35,0
214,2024-06-13,1,4,14.4,0
215,2024-06-13,1,5,12.75,0
216,2024-06-13,1,6,14.22,0
217,2024-06-13,1,7,11.82,1
218,2024-06-13,1,8,14.19,0
219,2024-06-13,1,9,12.92,0
220,2024-06-13,1,10,6.16,1
221,2024-06-13,1,11,9.19,1
222,2024-06-13,1,12,10.96,0
223,2024-06-13,1,13,9.71,0
224,2024-06-13,1,14,5.56,0
225,2024-06-13,2,1,12.07,0
226,2024-06-13,2,2,11.19,0
227,2024-06-13,2,3,6.95,0
228,2024-06-13,2,4,8.7,1
229,2024-06-13,2,5,4.68,0
230,2024-06-13,2,6,7.15,0
231,2024-06-13,2,7,9.54,0
232,2024-06-13,2,8,11.09,0
233,2024-06-13,2,9,10.46,0
234,2024-06-13,2,10,7.2,0
235,2024-06-13,2,11,8.63,0
236,2024-06-13,2,12,8.08,0
237,2024-06-13,2,13,6.05,0
238,2024-06-13,2,14,6.52,0
239,2024-06-13,3,1,9.44,0
240,2024-06-13,3,2,8.1,0
241,2024-06-13,3,3,7.22,0
242,2024-06-13,3,4,12.51,0
243,2024-06-13,3,5,10.63,0
244,2024-06-13,3,6,9.28,0
245,2024-06-13,3,7,12.75,0
246,2024-06-13,3,8,11.88,1
247,2024-06-13,3,9,7.85,0
248,2024-06-13,3,10,6.71,0
249,2024-06-13,3,11,6.69,0
250,2024-06-13,3,12,6.46,0
251,2024-06-13,3,13,6.53,0
252,2024-06-13,3,14,6.41,0
253,2024-06-15,1,1,11.55,0
254,2024-06-15,1,2,13.95,0
255,2024-06-15,1,3,14.0,0
256,2024-06-15,1,4,11.48,0
257,2024-06-15,1,5,8.65,0
258,2024-06-15,1,6,8.2,0
259,2024-06-15,1,7,13.22,0
260,2024-06-15,1,8,14.34,1
261,2024-06-15,1,9,13.69,0
262,2024-06-15,1,10,7.03,0
263,2024-06-15,1,11,11.9,0
264,2024-06-15,1,12,12.11,0
265,2024-06-15,1,13,11.45,0
266,2024-06-15,1,14,5.03,0
267,2024-06-15,2,1,9.96,0
268,2024-06-15,2,2,10.03,0
269,2024-06-15,2,3,10.01,0
270,2024-06-15,2,4,10.63,0
271,2024-06-15,2,5,9.24,0
272,2024-06-15,2,6,10.57,0
273,2024-06-15,2,7,12.66,0
274,2024-06-15,2,8,12.37,0
275,2024-06-15,2,9,11.6,0
276,2024-06-15,2,10,3.32,0
277,2024-06-15,2,11,8.51,0
278,2024-06-15,2,12,6.7,0
279,2024-06-15,2,13,7.98,0
280,2024-06-15,2,14,5.13,0
281,2024-06-15,3,1,8.71,0
282,2024-06-15,3,2,12.52,0
283,2024-06-15,3,3,8.98,0
284,2024-06-15,3,4,16.91,1
285,2024-06-15,3,5,5.98,0
286,2024-06-15,3,6,11.5,0
287,2024-06-15,3,7,6.31,0
288,2024-06-15,3,8,11.14,0
289,2024-06-15,3,9,6.68,0
290,2024-06-15,3,10,5.13,0
291,2024-06-15,3,11,9.85,1
292,2024-06-15,3,12,9.72,0
293,2024-06-15,3,13,6.36,0
294,2024-06-15,3,14,3.99,0
295,2024-06-19,1,1,6.68,0
296,2024-06-19,1,2,6.54,0
297,2024-06-19,1,3,8.51,0
298,2024-06-19,1,4,7.95,0
299,2024-06-19,1,5,7.47,0
300,2024-06-19,1,6,11.38,0
301,2024-06-19,1,7,14.11,0
302,2024-06-19,1,8,9.85,0
303,2024-06-19,1,9,11.94,0
304,2024-06-19,1,10,7.62,0
305,2024-06-19,1,11,6.67,0
306,2024-06-19,1,12,8.0,0
307,2024-06-19,1,13,8.78,0
308,2024-06-19,1,14,5.01,0
309,2024-06-19,2,1,9.68,0
310,2024-06-19,2,2,13.19,1
311,2024-06-19,2,3,8.87,1
312,2024-06-19,2,4,8.81,0
313,2024-06-19,2,5,9.86,0
314,2024-06-19,2,6,10.65,0
315,2024-06-19,2,7,13.2,1
316,2024-06-19,2,8,13.99,1
317,2024-06-19,2,9,12.65,0
318,2024-06-19,2,10,8.49,0
319,2024-06-19,2,11,5.94,0
320,2024-06-19,2,12,6.31,0
321,2024-06-19,2,13,6.74,0
322,2024-06-19,2,14,2.56,0
323,2024-06-19,3,1,6.28,0
324,2024-06-19,3,2,8.22,1
325,2024-06-19,3,3,12.14,0
326,2024-06-19,3,4,6.43,0
327,2024-06-19,3,5,7.67,0
328,2024-06-19,3,6,6.64,0
329,2024-06-19,3,7,10.58,0
330,2024-06-19,3,8,9.97,0
331,2024-06-19,3,9,9.19,0
332,2024-06-19,3,10,11.87,1
333,2024-06-19,3,11,5.14,0
334,2024-06-19,3,12,5.2,0
335,2024-06-19,3,13,7.74,0
336,2024-06-19,3,14,4.14,1
337,2024-06-21,1,1,12.59,0
338,2024-06-21,1,2,13.7,1
339,2024-06-21,1,3,12.8,0
340,2024-06-21,1,4,7.07,0
341,2024-06-21,1,5,8.18,0
342,2024-06-21,1,6,8.45,0
343,2024-06-21,1,7,7.73,1
344,2024-06-21,1,8,8.11,0
345,2024-06-21,1,9,11.83,0
346,2024-06-21,1,10,6.18,0
347,2024-06-21,1,11,6.55,0
348,2024-06-21,1,12,9.6,0
349,2024-06-21,1,13,9.3,0
350,2024-06-21,1,14,8.44,1
351,2024-06-21,2,1,11.25,0
352,2024-06-21,2,2,14.0,1
353,2024-06-21,2,3,8.07,0
354,2024-06-21,2,4,14.62,1
355,2024-06-21,2,5,5.73,0
356,2024-06-21,2,6,9.67,0
357,2024-06-21,2,7,8.22,0
358,2024-06-21,2,8,11.47,1
359,2024-06-21,2,9,10.7,0
360,2024-06-21,2,10,7.22,0
361,2024-06-21,2,11,6.43,0
362,2024-06-21,2,12,7.97,1
363,2024-06-21,2,13,6.0,0
364,2024-06-21,2,14,6.6,1
365,2024-06-21,3,1,12.03,0
366,2024-06-21,3,2,11.82,0
367,2024-06-21,3,3,11.51,1
368,2024-06-21,3,4,8.09,0
369,2024-06-21,3,5,11.77,0
370,2024-06-21,3,6,9.52,0
371,2024-06-21,3,7,10.11,0
372,2024-06-21,3,8,7.14,0
373,2024-06-21,3,9,8.42,0
374,2024-06-21,3,10,8.31,0
375,2024-06-21,3,11,9.92,1
376,2024-06-21,3,12,8.96,0
377,2024-06-21,3,13,6.04,0
378,2024-06-21,3,14,5.75,1
379,2024-06-25,1,1,15.61,1
380,2024-06-25,1,2,13.56,1
381,2024-06-25,1,3,12.56,0
382,2024-06-25,1,4,9.83,0
383,2024-06-25,1,5,15.01,1
384,2024-06-25,1,6,7.46,0
385,2024-06-25,1,7,11.75,0
386,2024-06-25,1,8,10.65,0
387,2024-06-25,1,9,12.92,0
388,2024-06-25,1,10,9.26,0
389,2024-06-25,1,11,9.32,0
390,2024-06-25,1,12,4.87,0
391,2024-06-25,1,13,6.25,0
392,2024-06-25,1,14,3.44,0
393,2024-06-25,2,1,5.98,0
394,2024-06-25,2,2,11.73,0
395,2024-06-25,2,3,7.09,1
396,2024-06-25,2,4,11.71,0
397,2024-06-25,2,5,8.67,0
398,2024-06-25,2,6,6.92,1
399,2024-06-25,2,7,7.82,0
400,2024-06-25,2,8,13.38,1
401,2024-06-25,2,9,11.3,0
402,2024-06-25,2,10,6.74,0
403,2024-06-25,2,11,5.63,0
404,2024-06-25,2,12,4.85,0
405,2024-06-25,2,13,8.31,0
406,2024-06-25,2,14,6.19,0
407,2024-06-25,3,1,6.93,0
408,2024-06-25,3,2,11.17,0
409,2024-06-25,3,3,10.57,0
410,2024-06-25,3,4,9.01,0
411,2024-06-25,3,5,9.38,0
412,2024-06-25,3,6,9.79,0
413,2024-06-25,3,7,5.73,0
414,2024-06-25,3,8,6.19,0
415,2024-06-25,3,9,7.78,0
416,2024-06-25,3,10,4.69,0
417,2024-06-25,3,11,8.57,0
418,2024-06-25,3,12,6.93,0
419,2024-06-25,3,13,8.38,0
420,2024-06-25,3,14,4.29,0
421,2024-06-27,1,1,7.71,0
422,2024-06-27,1,2,9.19,0
423,2024-06-27,1,3,10.61,0
424,2024-06-27,1,4,10.23,0
425,2024-06-27,1,5,7.28,0
426,2024-06-27,1,6,9.35,0
427,2024-06-27,1,7,15.24,1
428,2024-06-27,1,8,11.74,0
429,2024-06-27,1,9,11.66,0
430,2024-06-27,1,10,5.85,0
431,2024-06-27,1,11,4.79,0
432,2024-06-27,1,12,8.19,0
433,2024-06-27,1,13,10.36,0
434,2024-06-27,1,14,6.96,0
435,2024-06-27,2,1,11.11,0
